transaction_id,fee_amount
1,44.27
2,1.53
3,61.75
4,31.11
5,12.52
6,0.0
7,45.27
8,50.53
9,43.56
10,303.42
11,7.12
12,132.6
13,1.7
14,11.49
15,5.23
16,98.36
17,22.69
18,10.45
19,41.67
20,0.0
21,298.88
22,3.77
23,77.39
24,122.4
25,72.75
26,31.93
27,139.99
28,24.55
29,0.59
30,29.14
31,206.03
32,1.21
33,93.1
34,27.32
35,238.51
36,47.71
37,128.91
38,10.78
39,15.35
40,113.39
41,61.27
42,69.73
43,17.24
44,25.32
45,115.88
46,203.34
47,20.29
48,18.39
49,5.98
50,60.23
51,53.47
52,0.37
53,182.11
54,28.26
55,93.54
56,38.01
57,4.02
58,124.77
59,20.86
60,14.36
61,0.0
62,41.69
63,48.27
64,28.54
65,0.0
66,0.0
67,31.38
68,38.21
69,22.92
70,40.72
71,0.3
72,7.16
73,50.12
74,71.0
75,174.79
76,128.91
77,8.01
78,110.14
79,10.1
80,22.37
81,132.26
82,146.4
83,14.0
84,11.24
85,51.1
86,27.19
87,0.0
88,116.52
89,105.49
90,133.78
91,33.63
92,15.65
93,40.0
94,772.99
95,3.34
96,30.11
97,45.67
98,17.82
99,69.65
100,121.21
101,0.0
102,32.21
103,37.46
104,20.88
105,10.57
106,5.41
107,1.03
108,87.31
109,38.16
110,234.58
111,156.38
112,58.71
113,52.68
114,24.18
115,130.99
116,145.95
117,22.77
118,9.91
119,3.25
120,2.45
121,14.74
122,74.27
123,40.34
124,229.86
125,0.1
126,8.09
127,55.02
128,102.35
129,3.34
130,65.77
131,14.54
132,34.78
133,25.24
134,14.75
135,23.91
136,25.2
137,8.65
138,10.94
139,6.47
140,0.0
141,12.46
142,6.12
143,101.78
144,26.64
145,65.65
146,36.1
147,20.29
148,27.58
149,52.05
150,123.5
151,13.87
152,12.71
153,1.33
154,115.62
155,19.2
156,36.87
157,106.67
158,131.07
159,35.15
160,2.76
161,6.36
162,9.31
163,60.45
164,50.13
165,50.43
166,287.46
167,29.85
168,9.28
169,84.79
170,19.48
171,142.94
172,0.0
173,18.38
174,0.0
175,260.45
176,156.35
177,14.59
178,32.33
179,32.57
180,336.7
181,60.81
182,0.67
183,182.4
184,20.3
185,180.7
186,23.73
187,7.07
188,34.04
189,65.0
190,14.29
191,147.66
192,7.38
193,71.2
194,6.77
195,57.96
196,19.88
197,236.65
198,52.31
199,0.0
200,6.41
201,9.23
202,3.61
203,13.12
204,213.18
205,155.33
206,54.43
207,215.12
208,65.48
209,100.72
210,59.89
211,0.0
212,96.47
213,99.83
214,11.0
215,130.94
216,7.86
217,59.23
218,127.91
219,68.15
220,127.13
221,188.13
222,45.74
223,1.46
224,52.49
225,16.24
226,110.4
227,117.64
228,190.18
229,22.18
230,3.55
231,433.99
232,79.72
233,122.15
234,63.37
235,76.13
236,44.85
237,28.15
238,15.19
239,8.35
240,19.75
241,13.5
242,21.7
243,40.26
244,185.23
245,11.54
246,26.66
247,0.0
248,115.39
249,40.08
250,12.17
251,106.69
252,44.95
253,1.97
254,65.05
255,20.34
256,15.8
257,50.53
258,208.89
259,96.03
260,112.73
261,0.0
262,12.78
263,137.11
264,2.35
265,50.12
266,2.69
267,27.91
268,15.28
269,96.15
270,39.28
271,84.94
272,20.66
273,35.18
274,39.24
275,35.37
276,10.97
277,72.37
278,16.36
279,14.0
280,17.7
281,31.87
282,141.45
283,34.75
284,230.47
285,2.98
286,0.0
287,1.36
288,103.51
289,15.6
290,23.64
291,7.89
292,16.23
293,110.31
294,115.11
295,1.02
296,157.28
297,342.39
298,15.54
299,0.0
300,133.5
301,112.61
302,35.79
303,0.0
304,36.84
305,45.66
