user_id,signup_date,country,device_type,acquisition_channel
1,2022-04-13,Ghana,Web,Organic
2,2022-12-15,South Africa,iOS,Organic
3,2022-09-28,Ghana,iOS,Referral
4,2022-04-17,Nigeria,Android,Referral
5,2022-03-13,Kenya,Android,Referral
6,2022-07-08,Nigeria,iOS,Ads
7,2022-01-21,Ghana,iOS,Ads
8,2022-04-13,Nigeria,Android,Organic
9,2022-05-02,Nigeria,Web,Referral
10,2022-08-03,Nigeria,iOS,Referral
11,2022-11-27,Kenya,Android,Organic
12,2022-03-29,Ghana,Android,Organic
13,2022-04-10,Ghana,Android,Referral
14,2022-12-26,South Africa,Web,Ads
15,2022-06-01,Kenya,Android,Organic
16,2022-05-11,Kenya,Android,Ads
17,2022-05-30,Kenya,Web,Organic
18,2022-11-05,Kenya,Web,Referral
19,2022-09-15,Nigeria,Web,Ads
20,2022-12-10,South Africa,iOS,Referral
21,2022-10-21,South Africa,iOS,Ads
22,2022-07-11,Ghana,iOS,Organic
23,2022-10-04,Ghana,Android,Organic
24,2022-06-10,Ghana,Android,Ads
25,2022-11-10,South Africa,Android,Referral
26,2022-01-22,South Africa,iOS,Organic
27,2022-09-10,Kenya,Android,Referral
28,2022-08-24,South Africa,iOS,Ads
29,2022-12-11,South Africa,Web,Referral
30,2022-02-18,Ghana,Android,Ads
31,2022-02-28,Kenya,Android,Ads
32,2022-06-19,South Africa,iOS,Ads
33,2022-07-07,Kenya,Android,Ads
34,2022-09-28,Kenya,iOS,Organic
35,2022-07-09,Kenya,Android,Referral
36,2022-06-24,Kenya,Web,Referral
37,2022-02-20,Ghana,Web,Referral
38,2022-12-30,Kenya,Android,Ads
39,2022-02-24,South Africa,iOS,Organic
40,2022-09-01,Ghana,Android,Referral
41,2022-11-16,Ghana,Android,Organic
42,2022-05-11,Kenya,Web,Ads
43,2022-11-03,Kenya,Web,Organic
44,2022-05-15,Ghana,Android,Ads
45,2022-01-21,Nigeria,Web,Ads
46,2022-11-25,South Africa,iOS,Ads
47,2022-06-16,Kenya,Web,Referral
48,2022-10-01,Nigeria,Android,Referral
49,2022-03-30,Nigeria,Android,Ads
50,2022-11-12,Nigeria,Android,Organic
51,2022-01-14,Ghana,iOS,Ads
52,2022-08-30,South Africa,iOS,Referral
53,2022-09-22,Kenya,Android,Ads
54,2022-12-12,South Africa,Android,Ads
55,2022-02-22,South Africa,Android,Ads
56,2022-12-06,Nigeria,Android,Ads
57,2022-04-02,Kenya,Android,Referral
58,2022-09-21,Kenya,Web,Ads
59,2022-02-04,Ghana,iOS,Referral
60,2022-07-25,Nigeria,iOS,Ads
61,2022-03-22,Nigeria,iOS,Ads
62,2022-02-19,Ghana,Android,Organic
63,2022-12-26,Ghana,Web,Ads
64,2022-01-02,South Africa,Web,Ads
65,2022-02-23,South Africa,iOS,Referral
66,2022-04-16,South Africa,Web,Organic
67,2022-09-17,Ghana,iOS,Referral
68,2022-11-06,Kenya,Web,Organic
69,2022-07-10,Ghana,iOS,Ads
70,2022-08-06,Ghana,iOS,Organic
71,2022-02-13,Kenya,Android,Referral
72,2022-06-11,Ghana,iOS,Organic
73,2022-07-21,South Africa,Android,Referral
74,2022-09-27,South Africa,iOS,Organic
75,2022-12-17,Nigeria,Android,Referral
76,2022-10-31,South Africa,Web,Ads
77,2022-09-28,Kenya,Android,Ads
78,2022-08-03,Ghana,Android,Organic
79,2022-09-09,Kenya,Web,Referral
80,2022-07-09,South Africa,Android,Ads
81,2022-10-23,Kenya,Android,Ads
82,2022-08-01,Ghana,Android,Ads
83,2022-07-27,Kenya,Android,Organic
84,2022-08-25,Kenya,Web,Organic
85,2022-12-04,Ghana,iOS,Ads
86,2022-02-22,Ghana,iOS,Ads
87,2022-10-07,South Africa,Android,Ads
88,2022-08-05,Ghana,iOS,Organic
89,2022-09-09,Kenya,iOS,Organic
90,2022-07-07,Ghana,iOS,Organic
91,2022-02-10,Ghana,iOS,Organic
92,2022-06-06,Kenya,iOS,Referral
93,2022-01-15,Ghana,Android,Ads
94,2022-10-28,Nigeria,iOS,Organic
95,2022-03-06,Ghana,Web,Ads
96,2022-12-11,South Africa,Web,Referral
97,2022-11-23,South Africa,Web,Organic
98,2022-01-09,South Africa,Android,Referral
99,2022-12-10,Ghana,Web,Ads
100,2022-05-09,Ghana,iOS,Ads
101,2022-05-16,Ghana,Android,Referral
102,2022-03-04,South Africa,iOS,Referral
103,2022-05-19,Nigeria,Android,Organic
104,2022-03-22,Ghana,iOS,Referral
105,2022-06-12,Kenya,iOS,Organic
106,2022-10-16,Ghana,Web,Organic
107,2022-09-18,South Africa,Android,Referral
108,2022-08-19,South Africa,iOS,Ads
109,2022-02-10,Ghana,Web,Organic
110,2022-01-28,Nigeria,iOS,Organic
111,2022-05-15,Nigeria,Android,Ads
112,2022-07-20,Nigeria,Android,Ads
113,2022-11-24,Kenya,Web,Organic
114,2022-09-25,Kenya,iOS,Referral
115,2022-02-02,Nigeria,Web,Organic
116,2022-02-17,Nigeria,Web,Referral
117,2022-03-03,South Africa,Web,Referral
118,2022-08-04,Ghana,Android,Referral
119,2022-10-20,Kenya,iOS,Organic
120,2022-04-09,Nigeria,Android,Organic
121,2022-06-21,Nigeria,Android,Ads
122,2022-12-26,Kenya,iOS,Organic
123,2022-08-02,Nigeria,Android,Referral
124,2022-02-04,Kenya,Web,Ads
125,2022-08-15,South Africa,Web,Referral
126,2022-04-11,Kenya,iOS,Ads
127,2022-05-11,South Africa,iOS,Ads
128,2022-09-14,Nigeria,Android,Referral
129,2022-01-05,Kenya,Web,Referral
130,2022-08-06,Kenya,iOS,Ads
131,2022-09-12,Nigeria,Android,Organic
132,2022-12-25,Kenya,iOS,Ads
133,2022-10-10,Ghana,Web,Organic
134,2022-07-26,South Africa,Android,Organic
135,2022-01-15,Kenya,Web,Organic
136,2022-12-12,South Africa,iOS,Referral
137,2022-02-11,Ghana,iOS,Referral
138,2022-06-28,Nigeria,Web,Organic
139,2022-03-04,South Africa,iOS,Ads
140,2022-12-18,Nigeria,iOS,Referral
141,2022-08-19,South Africa,Web,Referral
142,2022-08-29,Ghana,iOS,Organic
143,2022-02-21,South Africa,Web,Organic
144,2022-04-06,Ghana,iOS,Referral
145,2022-08-10,Ghana,Web,Referral
146,2022-08-19,Nigeria,iOS,Ads
147,2022-08-25,South Africa,Android,Referral
148,2022-05-23,South Africa,Web,Ads
149,2022-06-20,Nigeria,Web,Referral
150,2022-01-29,South Africa,iOS,Referral
151,2022-02-05,Nigeria,Android,Ads
152,2022-01-13,Kenya,Android,Referral
153,2022-06-09,South Africa,Web,Ads
154,2022-11-23,South Africa,Web,Organic
155,2022-07-06,Nigeria,Android,Organic
156,2022-08-31,South Africa,Android,Organic
157,2022-03-27,Ghana,iOS,Referral
158,2022-10-11,Nigeria,Web,Referral
159,2022-03-07,South Africa,Android,Ads
160,2022-06-19,Nigeria,Web,Referral
161,2022-02-14,Kenya,Android,Ads
162,2022-03-03,Kenya,iOS,Ads
163,2022-05-14,Ghana,Android,Ads
164,2022-10-11,Kenya,iOS,Referral
165,2022-01-28,Nigeria,Web,Referral
166,2022-04-18,Nigeria,Web,Referral
167,2022-02-13,South Africa,Web,Organic
168,2022-12-06,Kenya,Android,Referral
169,2022-10-13,South Africa,Web,Organic
170,2022-11-27,Nigeria,iOS,Referral
171,2022-05-08,Ghana,Web,Organic
172,2022-12-14,South Africa,Web,Ads
173,2022-08-19,South Africa,Web,Referral
174,2022-07-09,South Africa,Android,Organic
175,2022-08-13,Kenya,Web,Organic
176,2022-10-10,Ghana,iOS,Referral
177,2022-05-01,Nigeria,iOS,Organic
178,2022-04-26,Ghana,Web,Ads
179,2022-08-21,Ghana,Android,Referral
180,2022-09-16,Kenya,Android,Ads
181,2022-12-25,Kenya,Web,Ads
182,2022-07-17,Nigeria,Android,Organic
183,2022-05-17,Ghana,Web,Organic
184,2022-11-14,Kenya,Android,Referral
185,2022-06-14,Kenya,iOS,Organic
186,2022-08-13,South Africa,iOS,Organic
187,2022-11-03,Ghana,iOS,Organic
188,2022-08-22,Kenya,Web,Organic
189,2022-06-21,Ghana,Android,Ads
190,2022-06-01,South Africa,Android,Organic
191,2022-11-11,Kenya,iOS,Referral
192,2022-06-09,Ghana,iOS,Organic
193,2022-04-06,Nigeria,Web,Ads
194,2022-08-21,Nigeria,Android,Referral
195,2022-06-29,South Africa,Web,Referral
196,2022-04-23,South Africa,iOS,Organic
197,2022-11-14,South Africa,Web,Organic
198,2022-02-21,Nigeria,Web,Referral
199,2022-09-25,Kenya,Web,Referral
200,2022-10-22,Kenya,iOS,Ads
201,2022-04-23,Kenya,iOS,Referral
202,2022-04-11,Ghana,Web,Referral
203,2022-04-23,South Africa,Web,Organic
204,2022-03-22,Nigeria,Web,Referral
205,2022-07-06,Ghana,Web,Referral
206,2022-04-23,Ghana,Android,Organic
207,2022-01-02,South Africa,Web,Ads
208,2022-05-10,South Africa,Android,Organic
209,2022-08-08,Nigeria,Android,Organic
210,2022-02-23,South Africa,iOS,Organic
211,2022-12-09,Nigeria,Web,Ads
212,2022-08-12,Kenya,Android,Referral
213,2022-08-13,South Africa,Android,Referral
214,2022-05-06,Nigeria,Web,Ads
215,2022-05-10,Ghana,iOS,Organic
216,2022-02-22,Ghana,Web,Referral
217,2022-06-21,Kenya,Web,Referral
218,2022-08-06,Ghana,iOS,Ads
219,2022-06-09,Nigeria,iOS,Referral
220,2022-07-17,South Africa,iOS,Organic
221,2022-09-04,Nigeria,iOS,Ads
222,2022-11-20,Kenya,Android,Organic
223,2022-07-22,Kenya,Android,Ads
224,2022-07-03,Kenya,iOS,Referral
225,2022-05-03,Kenya,Web,Organic
226,2022-09-12,Kenya,iOS,Ads
227,2022-10-21,Kenya,Web,Organic
228,2022-10-07,Nigeria,iOS,Referral
229,2022-11-21,Ghana,Web,Referral
230,2022-04-08,South Africa,Android,Organic
231,2022-07-17,Ghana,Android,Ads
232,2022-08-28,Kenya,Web,Ads
233,2022-05-24,Kenya,iOS,Ads
234,2022-04-07,Kenya,iOS,Referral
235,2022-07-20,Ghana,iOS,Ads
236,2022-05-04,Nigeria,Android,Referral
237,2022-07-06,Kenya,Android,Ads
238,2022-11-22,Nigeria,iOS,Ads
239,2022-12-15,South Africa,Web,Organic
240,2022-09-16,Nigeria,Android,Referral
241,2022-05-28,Kenya,Web,Referral
242,2022-09-09,Ghana,Web,Referral
243,2022-12-12,South Africa,iOS,Organic
244,2022-05-27,Nigeria,Android,Referral
245,2022-05-28,Kenya,Web,Ads
246,2022-12-18,Ghana,Web,Referral
247,2022-07-18,Ghana,Web,Referral
248,2022-11-04,Kenya,iOS,Referral
249,2022-05-08,Ghana,iOS,Ads
250,2022-02-08,Ghana,Android,Organic
251,2022-12-04,Kenya,Web,Ads
252,2022-12-26,Nigeria,iOS,Organic
253,2022-05-09,Kenya,Android,Referral
254,2022-09-24,Kenya,iOS,Ads
255,2022-05-31,Nigeria,iOS,Ads
256,2022-10-25,South Africa,iOS,Organic
257,2022-04-09,South Africa,Web,Referral
258,2022-09-20,Ghana,iOS,Ads
259,2022-09-09,Kenya,iOS,Ads
260,2022-05-24,Nigeria,iOS,Ads
261,2022-12-12,Nigeria,Web,Organic
262,2022-04-22,South Africa,iOS,Referral
263,2022-03-01,Ghana,Web,Ads
264,2022-01-02,Ghana,Android,Organic
265,2022-10-31,Nigeria,iOS,Ads
266,2022-09-11,Ghana,Android,Organic
267,2022-05-20,South Africa,Web,Referral
268,2022-02-06,Kenya,Android,Organic
269,2022-06-09,Nigeria,iOS,Referral
270,2022-01-09,Kenya,Web,Organic
